constraints,variables,time
5,6,0.0005005109123885
5,6,0.0005825499538332
5,6,0.0007861489430069
5,6,0.0005531390197575
5,6,0.0006391450297087
5,6,0.0017951608169823
3,4,0.0004350610543042
3,4,0.0004415190778672
5,6,0.0008970529306679
5,6,0.0007806438952684
5,6,0.0005788910202682
5,6,0.0010975778568536
4,5,0.000459078932181
5,6,0.0006218389607965
6,7,0.0075278580188751
4,5,0.0004527932032942
3,7,0.0004174350760877
2,4,0.000367010012269
3,5,0.0004737100098282
4,6,0.0005041079130023
4,6,0.0005101771093904
3,6,0.0008973509538918
5,7,0.0006862471345812
6,8,0.0020636960398405
6,8,0.0008582209702581
5,7,0.0008497431408613
5,7,0.0006634159944951
6,7,0.0009710059966892
4,5,0.0006290529854595
4,5,0.0003796920645982
7,8,0.0012843559961766
7,8,0.0011296519078314
8,9,0.0013017279561609
5,6,0.0005205841735005
6,7,0.0007594649214297
5,6,0.0011574309319257
4,5,0.0006779669784009
3,5,0.0003787239547818
4,5,0.0005815520416945
4,5,0.0005669489037245
6,7,0.0009116758592426
3,5,0.0003791730850934
5,6,0.0005157641135156
4,5,0.0005673069972544
3,4,0.0003585899248719
2,3,0.0002051012124866
1,2,0.0001791010145097
2,3,0.0001836558803915
3,4,0.0010109459981322
1,2,0.0002119899727404
3,4,0.0004459060728549
5,6,0.0004929779097437
5,6,0.0008896149229258
3,4,0.0004271050001989
2,3,0.0001908020003611
1,2,0.000149567000335
1,2,0.0001577580005687
2,4,0.0005437270001493
3,5,0.0003363740001987
3,4,0.0006817100002081
3,4,0.0007043230002636
3,4,0.0006165529998725
1,2,7.05710003785498e-05
1,2,0.0001124619998336
3,4,0.000502378999954
4,5,0.0005397619997893
4,5,0.0004068789994562
1,2,6.744899928889936e-05
1,2,0.0001515949998065
4,5,0.0008459609998681
1,2,0.0001033959997585
1,2,7.602900041092653e-05
4,5,0.0006786020003346
4,5,0.0006748110008629
4,5,0.0008394360002057
4,5,0.0008803159998933
4,5,0.000690896999913
1,2,0.0002700099994399
1,2,7.558400011475896e-05
1,2,9.649599996919278e-05
2,3,0.0001124020000133
3,4,0.0006446440002036
3,4,0.0002370509992033
3,4,0.000469996000902
2,3,0.0001655659998505
3,4,0.0006798999984312
5,6,0.0008124190007947
5,6,0.0005149240005266
1,2,6.725899947923608e-05
5,6,0.0009422059993084
5,6,0.0006833210009062
1,2,0.0001019569990603
1,2,0.0001093560003937
2,3,0.0001661220012465
2,3,0.0001647089993639
1,2,0.0001596689999132
1,2,9.303399929194713e-05
1,2,6.592300087504555e-05
1,2,0.0001441219992557
1,2,9.18200003070524e-05
3,7,0.0003710840010171
3,7,0.0007181839991972
3,7,0.0004281149995222
1,2,0.0001451860007364
4,6,0.0007361209991358
4,6,0.000517985999977
5,7,0.0009291909991588
5,7,0.0007518169986724
1,2,0.0001103739996324
1,1,5.713999962608796e-05
1,1,5.6447001043125056e-05
2,2,8.127900036924984e-05
2,2,8.278299901576247e-05
2,2,0.0001253560003533
1,1,0.0001747499991324
2,2,0.0002468820002832
2,2,0.0001712260000203969
